SEX,COUNTRY,YEAR,rate
MLE,AZE,2011,7.19
BTSX,AZE,2017,3.98
BTSX,AZE,2019,4.09
MLE,AZE,2013,6.9
FMLE,AZE,2010,1.9
MLE,AZE,2019,6.64
MLE,AZE,2018,6.51
MLE,AZE,2017,6.39
FMLE,AZE,2019,1.56
MLE,AZE,2015,6.55
BTSX,AZE,2015,4.07
FMLE,AZE,2015,1.61
MLE,BDI,2013,9.92
MLE,BDI,2016,9.23
BTSX,BDI,2012,7.13
BTSX,BDI,2018,6.31
BTSX,BDI,2017,6.37
MLE,BDI,2018,9.27
MLE,BDI,2014,9.39
MLE,BDI,2015,9.17
BTSX,BDI,2016,6.41
FMLE,BDI,2019,3.36
BTSX,BDI,2019,6.24
FMLE,BDI,2013,4.1
FMLE,BDI,2014,3.96
MLE,BDI,2011,10.3314
BTSX,BDI,2014,6.65
BTSX,BDI,2015,6.44
FMLE,BDI,2018,3.4
BTSX,BDI,2013,6.98
MLE,BDI,2010,10.5952
MLE,BDI,2017,9.29
BTSX,BDI,2011,7.39
FMLE,BDI,2011,4.5
FMLE,BDI,2010,4.69
FMLE,BDI,2015,3.77
FMLE,BDI,2017,3.5
MLE,BDI,2019,9.18
FMLE,BDI,2016,3.64
MLE,BDI,2012,10.0889
FMLE,BDI,2012,4.23
BTSX,BDI,2010,7.61
BTSX,BEL,2015,18.5986
FMLE,BEL,2019,11.8395
FMLE,BEL,2017,11.9315
FMLE,BEL,2015,11.6618
FMLE,BEL,2018,11.9139
MLE,BEL,2017,26.0778
BTSX,BEL,2018,18.6592
BTSX,BEL,2017,18.907
BTSX,BEL,2013,19.5197
FMLE,BEL,2014,12.1251
FMLE,BEL,2013,11.8906
FMLE,BEL,2012,11.7969
MLE,BEL,2019,24.8808
MLE,BEL,2016,27.1085
MLE,BEL,2015,25.7738
MLE,BEL,2012,30.2144
FMLE,BEL,2010,12.2065
BTSX,BEL,2014,19.439
MLE,BEL,2010,29.1292
BTSX,BEL,2019,18.2944
MLE,BEL,2011,29.7021
MLE,BEL,2013,27.428
FMLE,BEL,2016,11.663
MLE,BEL,2014,27.0161
BTSX,BEL,2011,21.1255
MLE,BEL,2018,25.5664
BTSX,BEL,2012,20.8403
FMLE,BEL,2011,12.8497
BTSX,BEL,2016,19.2655
BTSX,BEL,2010,20.5172
BTSX,BEN,2018,7.92
MLE,BEN,2016,12.1287
MLE,BEN,2018,12.0027
MLE,BEN,2013,12.5261
BTSX,BEN,2010,8.41
MLE,BEN,2012,12.5757
MLE,BEN,2011,12.7452
BTSX,BEN,2015,8.06
BTSX,BEN,2019,7.81
MLE,BEN,2010,12.6701
FMLE,BEN,2016,3.96
MLE,BEN,2015,12.1801
BTSX,BEN,2017,7.96
BTSX,BEN,2016,8.03
BTSX,BEN,2011,8.45
FMLE,BEN,2010,4.21
MLE,BEN,2019,11.8045
FMLE,BEN,2013,4.11
FMLE,BEN,2012,4.13
MLE,BEN,2014,12.3895
BTSX,BEN,2013,8.3
FMLE,BEN,2018,3.86
FMLE,BEN,2011,4.2
BTSX,BEN,2014,8.21
FMLE,BEN,2015,3.97
FMLE,BEN,2014,4.06
BTSX,BEN,2012,8.33
MLE,BEN,2017,12.0166
FMLE,BEN,2017,3.92
FMLE,BEN,2019,3.83
MLE,BFA,2013,12.3644
FMLE,BFA,2019,3.66
BTSX,BFA,2017,7.7
BTSX,BFA,2018,7.64
BTSX,BFA,2014,8.04
FMLE,BFA,2011,4.08
MLE,BFA,2019,11.3168
MLE,BFA,2017,11.637
FMLE,BFA,2018,3.72
FMLE,BFA,2016,3.92
MLE,BFA,2016,11.7793
MLE,BFA,2018,11.5817
BTSX,BFA,2013,8.27
BTSX,BFA,2016,7.84
BTSX,BFA,2010,8.03
FMLE,BFA,2010,4.27
FMLE,BFA,2013,4.21
BTSX,BFA,2011,7.86
FMLE,BFA,2014,4.09
FMLE,BFA,2017,3.78
MLE,BFA,2011,11.7005
FMLE,BFA,2012,4.19
BTSX,BFA,2019,7.48
MLE,BFA,2010,11.8527
FMLE,BFA,2015,4.03
BTSX,BFA,2012,8.26
MLE,BFA,2014,12.0201
MLE,BFA,2012,12.3779
BTSX,BFA,2015,7.96
MLE,BFA,2015,11.9301
BTSX,BGD,2015,3.41
MLE,BGD,2016,5.05
MLE,BGD,2014,5.08
BTSX,BGD,2019,3.68
MLE,BGD,2011,5.64
BTSX,BGD,2018,3.56
BTSX,BGD,2016,3.39
FMLE,BGD,2012,2.15
FMLE,BGD,2013,1.95
FMLE,BGD,2014,1.8
MLE,BGD,2010,6.28
FMLE,BGD,2018,1.63
FMLE,BGD,2017,1.62
BTSX,BGD,2012,3.67
BTSX,BGD,2011,3.96
MLE,BGD,2015,4.99
FMLE,BGD,2016,1.69
BTSX,BGD,2014,3.47
FMLE,BGD,2011,2.22
MLE,BGD,2018,5.46
FMLE,BGD,2019,1.65
BTSX,BGD,2017,3.48
FMLE,BGD,2015,1.79
MLE,BGD,2012,5.14
MLE,BGD,2013,5.01
MLE,BGD,2017,5.3
BTSX,BGD,2010,4.38
FMLE,BGD,2010,2.41
BTSX,BGD,2013,3.5
MLE,BGD,2019,5.66
BTSX,BGR,2017,10.2905
FMLE,BGR,2014,4.88
FMLE,BGR,2015,4.46
BTSX,BGR,2012,12.5411
BTSX,BGR,2019,9.73
FMLE,BGR,2012,5.6
MLE,BGR,2014,16.3146
FMLE,BGR,2018,4.29
MLE,BGR,2012,19.8554
BTSX,BGR,2018,9.67
MLE,BGR,2017,16.1192
FMLE,BGR,2011,4.53
MLE,BGR,2015,15.5098
BTSX,BGR,2015,9.83
FMLE,BGR,2010,5.88
FMLE,BGR,2013,4.3
BTSX,BGR,2013,10.504
FMLE,BGR,2016,4.46
FMLE,BGR,2017,4.78
BTSX,BGR,2016,9.65
MLE,BGR,2013,17.0504
MLE,BGR,2018,15.3614
BTSX,BGR,2011,11.0106
MLE,BGR,2016,15.1227
BTSX,BGR,2010,12.3531
MLE,BGR,2011,17.8377
