"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2019","AFR","","AGO","MLE","10.0 [6.0-15.6]","9.95000","6.02000","15.62080",""
"SDGSUICIDE","PUBLISHED","2016","AFR","","AGO","FMLE","2.6 [1.5-4.2]","2.58000","1.48000","4.16000",""
"SDGSUICIDE","PUBLISHED","2015","AFR","","AGO","FMLE","2.6 [1.5-4.1]","2.56000","1.48000","4.11000",""
"SDGSUICIDE","PUBLISHED","2012","AFR","","AGO","FMLE","2.7 [1.6-4.3]","2.72000","1.60000","4.31000",""
"SDGSUICIDE","PUBLISHED","2015","AFR","","AGO","MLE","10.5 [6.5-16.0]","10.46140","6.49000","16.03570",""
"SDGSUICIDE","PUBLISHED","2007","AFR","","AGO","MLE","11.9 [7.5-18.1]","11.85840","7.49000","18.08820",""
"SDGSUICIDE","PUBLISHED","2014","AFR","","AGO","BTSX","6.4 [3.9-9.8]","6.38000","3.94000","9.80000",""
"SDGSUICIDE","PUBLISHED","2003","AFR","","AGO","MLE","13.9 [8.6-21.5]","13.93290","8.56000","21.49640",""
"SDGSUICIDE","PUBLISHED","2000","AFR","","AGO","MLE","14.2 [8.3-22.2]","14.21930","8.29000","22.16510",""
"SDGSUICIDE","PUBLISHED","2013","AFR","","AGO","MLE","11.3 [7.1-17.1]","11.31400","7.13000","17.10530",""
"SDGSUICIDE","PUBLISHED","2010","AFR","","AGO","FMLE","2.9 [1.7-4.5]","2.86000","1.70000","4.53000",""
"SDGSUICIDE","PUBLISHED","2010","AFR","","AGO","MLE","11.2 [7.1-16.9]","11.17640","7.14000","16.87910",""
"SDGSUICIDE","PUBLISHED","2000","AFR","","AGO","FMLE","3.3 [1.8-5.3]","3.26000","1.83000","5.33000",""
"SDGSUICIDE","PUBLISHED","2002","AFR","","AGO","MLE","13.8 [8.4-21.2]","13.77280","8.38000","21.24320",""
"SDGSUICIDE","PUBLISHED","2006","AFR","","AGO","FMLE","3.6 [2.1-5.7]","3.60000","2.12000","5.70000",""
"SDGSUICIDE","PUBLISHED","2004","AFR","","AGO","MLE","13.6 [8.5-20.7]","13.60340","8.47000","20.69420",""
"SDGSUICIDE","PUBLISHED","2017","AFR","","AGO","BTSX","6.0 [3.6-9.4]","6.02000","3.63000","9.41000",""
"SDGSUICIDE","PUBLISHED","2011","AFR","","AGO","FMLE","2.7 [1.6-4.2]","2.65000","1.56000","4.20000",""
"SDGSUICIDE","PUBLISHED","2018","AFR","","AGO","BTSX","6.0 [3.6-9.5]","6.00000","3.58000","9.45000",""
"SDGSUICIDE","PUBLISHED","2004","AFR","","AGO","FMLE","3.6 [2.1-5.7]","3.58000","2.10000","5.69000",""
"SDGSUICIDE","PUBLISHED","2001","AFR","","AGO","FMLE","3.2 [1.8-5.2]","3.19000","1.81000","5.20000",""
"SDGSUICIDE","PUBLISHED","2016","AFR","","AGO","BTSX","6.2 [3.8-9.7]","6.23000","3.78000","9.69000",""
"SDGSUICIDE","PUBLISHED","2012","AFR","","AGO","MLE","11.2 [7.1-17.0]","11.23410","7.11000","17.01650",""
"SDGSUICIDE","PUBLISHED","2011","AFR","","AGO","MLE","10.6 [6.7-16.0]","10.59680","6.73000","15.99790",""
"SDGSUICIDE","PUBLISHED","2014","AFR","","AGO","FMLE","2.4 [1.4-3.9]","2.42000","1.41000","3.86000",""
"SDGSUICIDE","PUBLISHED","2003","AFR","","AGO","BTSX","8.8 [5.3-13.6]","8.75000","5.31000","13.59320",""
"SDGSUICIDE","PUBLISHED","2018","AFR","","AGO","FMLE","2.3 [1.3-3.7]","2.28000","1.29000","3.70000",""
"SDGSUICIDE","PUBLISHED","2008","AFR","","AGO","FMLE","3.2 [1.9-5.0]","3.16000","1.88000","5.00000",""
"SDGSUICIDE","PUBLISHED","2008","AFR","","AGO","MLE","12.0 [7.6-18.3]","12.01210","7.57000","18.25400",""
"SDGSUICIDE","PUBLISHED","2019","AFR","","AGO","BTSX","6.1 [3.6-9.6]","6.08000","3.63000","9.62000",""
"SDGSUICIDE","PUBLISHED","2015","AFR","","AGO","BTSX","6.5 [4.0-10.0]","6.47000","3.95000","10.00880",""
"SDGSUICIDE","PUBLISHED","2006","AFR","","AGO","MLE","13.6 [8.6-20.6]","13.59520","8.57000","20.64740",""
"SDGSUICIDE","PUBLISHED","2001","AFR","","AGO","BTSX","8.6 [5.1-13.5]","8.63000","5.06000","13.53610",""
"SDGSUICIDE","PUBLISHED","2013","AFR","","AGO","BTSX","6.9 [4.3-10.6]","6.92000","4.31000","10.57490",""
